x,rho,beta,p.val,n,ns,feature.set,feature,q.val,y,detected_count,neg_log10_qval
EXP_STMN1,0.107490768806814,0.0269717153415764,0.00729219194482488,622,20,EXP,STMN1,0.0405401720657507,temozolomide::O6-benzylguanine::100::5,3,1.39211441235126
EXP_NSL1,0.134685021784115,0.0485560425966813,0.000758161921671232,622,30,EXP,NSL1,0.00916247901762194,temozolomide::O6-benzylguanine::100::5,3,2.03798700689831
EXP_ARID1A,0.146753740489567,0.0428994916638352,0.000240125628782003,622,30,EXP,ARID1A,0.0044536461945694,temozolomide::O6-benzylguanine::100::5,4,2.35128428704364
EXP_CENPF,0.1253016731604,0.0350841334997729,0.00174166495284162,622,29,EXP,CENPF,0.0158019709774509,temozolomide::O6-benzylguanine::100::5,3,1.80128874018195
EXP_RPA2,0.103300265506993,0.0371009995856487,0.00993685777048736,622,18,EXP,RPA2,0.049566935941064,temozolomide::O6-benzylguanine::100::5,3,1.30480792686885
EXP_STX12,-0.093512715760984,-0.0415291549344832,0.019667973384562,622,19,EXP,STX12,0.0782596350287741,temozolomide::O6-benzylguanine::100::5,2,1.1064621818041
EXP_MTARC2,-0.12196830669063,-0.021808617165882,0.00231025747111385,622,27,EXP,MTARC2,0.0189290979507607,temozolomide::O6-benzylguanine::100::5,2,1.72287008145835
EXP_TXNDC12,-0.0892500941265555,-0.0416527364871569,0.0260237606916835,622,14,EXP,TXNDC12,0.0947567751909468,temozolomide::O6-benzylguanine::100::5,3,1.02338972782061
EXP_MESD,-0.106526801224701,-0.048355688099038,0.0078373822630778,622,23,EXP,MESD,0.0424330474100162,temozolomide::O6-benzylguanine::100::5,3,1.37229577742902
EXP_RCN2,-0.152464338992606,-0.0486614618735411,0.000135008138004093,622,27,EXP,RCN2,0.00307763781110072,temozolomide::O6-benzylguanine::100::5,4,2.51178249103334
EXP_CTSD,-0.207280736034761,-0.0368108057137279,1.8290689713105e-07,622,44,EXP,CTSD,6.0592392686845e-05,temozolomide::O6-benzylguanine::100::5,3,4.21758189764084
EXP_KMT2A,0.142792368986434,0.0483187991469576,0.000353738294877983,622,30,EXP,KMT2A,0.0056020490792736,temozolomide::O6-benzylguanine::100::5,5,2.25165309066341
EXP_KPTN,0.0912293492695122,0.0330624421524969,0.0228805459323496,622,19,EXP,KPTN,0.0864996248661997,temozolomide::O6-benzylguanine::100::5,3,1.06298577599059
EXP_KIF14,0.135115987771199,0.0460067585135145,0.000728799302740175,622,32,EXP,KIF14,0.00894844783415352,temozolomide::O6-benzylguanine::100::5,4,2.04825228932342
EXP_DDX59,0.096873423157423,0.0436486763868064,0.0156557723778963,622,20,EXP,DDX59,0.0675962878416962,temozolomide::O6-benzylguanine::100::5,3,1.17007715337987
