"","ccle_name","GE_MGMT","culture","pert1","pert2","dose1","dose2","library.fitted","combination.fitted","S"
"134","COV434_OVARY",4.46597446450407,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.538270509168296,0.824747448494444,-0.286476939326148
"135","COV434_OVARY",4.46597446450407,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.664772475048181,0.780413417623115,-0.115640942574935
"136","COV434_OVARY",4.46597446450407,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.771394492994648,0.728522575845451,0.0071618206286207
"137","COV434_OVARY",4.46597446450407,"PR500","temozolomide","O6-benzylguanine",100,5,0.965825921610322,0.466025653222041,0.455089375069759
"138","COV434_OVARY",4.46597446450407,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.907099754078247,0.604819285960935,0.260288180038908
"139","COV434_OVARY",4.46597446450407,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.85162991691055,0.669599581351339,0.142605907709559
"140","COV434_OVARY",4.46597446450407,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.943219013400488,0.536125068354612,0.363429591314474
"141","YD10B_UPPER_AERODIGESTIVE_TRACT",3.68257329734758,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.750139882672875,0.663618482036103,0.0150708805655196
"142","YD10B_UPPER_AERODIGESTIVE_TRACT",3.68257329734758,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.853896553821653,0.685347512532232,0.0872157403053243
"143","YD10B_UPPER_AERODIGESTIVE_TRACT",3.68257329734758,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.919236980861543,0.70630625622842,0.125373774431707
"144","YD10B_UPPER_AERODIGESTIVE_TRACT",3.68257329734758,"PR500","temozolomide","O6-benzylguanine",100,5,0.993921792724512,0.781349948283991,0.117901196151198
"145","YD10B_UPPER_AERODIGESTIVE_TRACT",3.68257329734758,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.977341918877471,0.745642635889298,0.13860786096911
"146","YD10B_UPPER_AERODIGESTIVE_TRACT",3.68257329734758,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.956816167829515,0.726414133359428,0.139265681926871
"147","YD10B_UPPER_AERODIGESTIVE_TRACT",3.68257329734758,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.988232820176479,0.763961760080014,0.130142284138712
"148","KKU100_BILIARY_TRACT",2.75060650483559,"PR300","temozolomide","O6-benzylguanine",0.1372,5,0.70904164439722,0.991870798443413,-0.0761510617260495
"149","KKU100_BILIARY_TRACT",2.75060650483559,"PR300","temozolomide","O6-benzylguanine",0.4115,5,0.749153945224048,0.979344632449051,-0.0636159923072392
"150","KKU100_BILIARY_TRACT",2.75060650483559,"PR300","temozolomide","O6-benzylguanine",1.235,5,0.78543011609763,0.948491649788557,-0.0327363182971229
"151","KKU100_BILIARY_TRACT",2.75060650483559,"PR300","temozolomide","O6-benzylguanine",100,5,0.891986522503691,0.295609566633314,0.596376955870377
"152","KKU100_BILIARY_TRACT",2.75060650483559,"PR300","temozolomide","O6-benzylguanine",11.11,5,0.846101312365277,0.735489348700577,0.110611963664699
"153","KKU100_BILIARY_TRACT",2.75060650483559,"PR300","temozolomide","O6-benzylguanine",3.704,5,0.817717906960735,0.877388654142585,0
"154","KKU100_BILIARY_TRACT",2.75060650483559,"PR300","temozolomide","O6-benzylguanine",33.33,5,0.870767347588496,0.51929633098815,0.351471016600347
"155","KMRC3_KIDNEY",4.96208624985064,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.75347623046945,0.866369707131402,0
"156","KMRC3_KIDNEY",4.96208624985064,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.793428145176185,0.812906114191396,0
"157","KMRC3_KIDNEY",4.96208624985064,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.828399304622672,0.744319029884164,0.0840802747385087
"158","KMRC3_KIDNEY",4.96208624985064,"PR500","temozolomide","O6-benzylguanine",100,5,0.923321551922025,0.369909263275872,0.553412288646153
"159","KMRC3_KIDNEY",4.96208624985064,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.884042742862111,0.566618244365414,0.317424498496698
"160","KMRC3_KIDNEY",4.96208624985064,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.85848883451081,0.661126749039094,0.197362085471716
"161","KMRC3_KIDNEY",4.96208624985064,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.90549336585039,0.466985248723953,0.438508117126437
